WEEK;WEEK_LABEL;AGE_GROUP;RESPONDENTS_N;ARI_CASE_PERC
2021-06-07; 7 jun t/m 13 jun '21;Totaal;11465;3,48
2021-06-14;14 jun t/m 20 jun '21;<=24;318;4,40
2021-06-14;14 jun t/m 20 jun '21;25-39;1489;6,18
2021-06-14;14 jun t/m 20 jun '21;40-49;1913;4,29
2021-06-14;14 jun t/m 20 jun '21;50-59;2949;2,14
2021-06-14;14 jun t/m 20 jun '21;60-69;3233;1,70
2021-06-14;14 jun t/m 20 jun '21;70+;1336;1,35
2021-06-14;14 jun t/m 20 jun '21;Totaal;11238;2,88
2021-06-21;21 jun t/m 27 jun '21;<=24;306;8,17
2021-06-21;21 jun t/m 27 jun '21;25-39;1496;5,75
2021-06-21;21 jun t/m 27 jun '21;40-49;1857;3,61
2021-06-21;21 jun t/m 27 jun '21;50-59;2938;2,59
2021-06-21;21 jun t/m 27 jun '21;60-69;3198;2,28
2021-06-21;21 jun t/m 27 jun '21;70+;1325;1,58
2021-06-21;21 jun t/m 27 jun '21;Totaal;11120;3,13
2021-06-28;28 jun t/m  4 jul '21;<=24;313;9,27
2021-06-28;28 jun t/m  4 jul '21;25-39;1466;6,75
2021-06-28;28 jun t/m  4 jul '21;40-49;1835;5,18
2021-06-28;28 jun t/m  4 jul '21;50-59;2913;2,92
2021-06-28;28 jun t/m  4 jul '21;60-69;3172;2,55
2021-06-28;28 jun t/m  4 jul '21;70+;1349;1,93
2021-06-28;28 jun t/m  4 jul '21;Totaal;11048;3,76
2021-07-05; 5 jul t/m 11 jul '21;<=24;302;12,25
2021-07-05; 5 jul t/m 11 jul '21;25-39;1413;8,28
2021-07-05; 5 jul t/m 11 jul '21;40-49;1788;5,82
2021-07-05; 5 jul t/m 11 jul '21;50-59;2911;4,60
2021-07-05; 5 jul t/m 11 jul '21;60-69;3171;2,84
2021-07-05; 5 jul t/m 11 jul '21;70+;1344;1,71
2021-07-05; 5 jul t/m 11 jul '21;Totaal;10929;4,62
2021-07-12;12 jul t/m 18 jul '21;<=24;303;11,55
2021-07-12;12 jul t/m 18 jul '21;25-39;1366;8,71
2021-07-12;12 jul t/m 18 jul '21;40-49;1766;6,57
2021-07-12;12 jul t/m 18 jul '21;50-59;2832;4,48
2021-07-12;12 jul t/m 18 jul '21;60-69;3093;3,46
2021-07-12;12 jul t/m 18 jul '21;70+;1306;1,61
2021-07-12;12 jul t/m 18 jul '21;Totaal;10666;4,92
2021-07-19;19 jul t/m 25 jul '21;<=24;241;7,47
2021-07-19;19 jul t/m 25 jul '21;25-39;1330;7,82
2021-07-19;19 jul t/m 25 jul '21;40-49;1681;5,18
2021-07-19;19 jul t/m 25 jul '21;50-59;2762;3,91
2021-07-19;19 jul t/m 25 jul '21;60-69;2983;3,29
2021-07-19;19 jul t/m 25 jul '21;70+;1288;2,64
2021-07-19;19 jul t/m 25 jul '21;Totaal;10285;4,37
2021-07-26;26 jul t/m  1 aug '21;<=24;254;5,12
2021-07-26;26 jul t/m  1 aug '21;25-39;1351;6,29
2021-07-26;26 jul t/m  1 aug '21;40-49;1687;5,33
2021-07-26;26 jul t/m  1 aug '21;50-59;2810;3,52
2021-07-26;26 jul t/m  1 aug '21;60-69;3107;3,57
2021-07-26;26 jul t/m  1 aug '21;70+;1327;2,34
2021-07-26;26 jul t/m  1 aug '21;Totaal;10536;4,07
2021-08-02; 2 aug t/m  8 aug '21;<=24;263;6,46
2021-08-02; 2 aug t/m  8 aug '21;25-39;1332;7,21
2021-08-02; 2 aug t/m  8 aug '21;40-49;1633;4,53
2021-08-02; 2 aug t/m  8 aug '21;50-59;2735;3,36
2021-08-02; 2 aug t/m  8 aug '21;60-69;3092;2,88
2021-08-02; 2 aug t/m  8 aug '21;70+;1357;2,43
2021-08-02; 2 aug t/m  8 aug '21;Totaal;10412;3,85
2021-08-09; 9 aug t/m 15 aug '21;<=24;253;6,32
2021-08-09; 9 aug t/m 15 aug '21;25-39;1277;5,95
2021-08-09; 9 aug t/m 15 aug '21;40-49;1600;3,44
2021-08-09; 9 aug t/m 15 aug '21;50-59;2700;3,07
2021-08-09; 9 aug t/m 15 aug '21;60-69;3069;2,77
2021-08-09; 9 aug t/m 15 aug '21;70+;1352;3,18
2021-08-09; 9 aug t/m 15 aug '21;Totaal;10251;3,49
2021-08-16;16 aug t/m 22 aug '21;<=24;253;7,11
2021-08-16;16 aug t/m 22 aug '21;25-39;1238;5,49
2021-08-16;16 aug t/m 22 aug '21;40-49;1594;3,89
2021-08-16;16 aug t/m 22 aug '21;50-59;2667;3,30
2021-08-16;16 aug t/m 22 aug '21;60-69;3026;2,41
2021-08-16;16 aug t/m 22 aug '21;70+;1339;2,61
2021-08-16;16 aug t/m 22 aug '21;Totaal;10117;3,40
2021-08-23;23 aug t/m 29 aug '21;<=24;249;6,02
2021-08-23;23 aug t/m 29 aug '21;25-39;1201;5,50
2021-08-23;23 aug t/m 29 aug '21;40-49;1583;4,11
2021-08-23;23 aug t/m 29 aug '21;50-59;2654;2,75
2021-08-23;23 aug t/m 29 aug '21;60-69;2965;2,23
2021-08-23;23 aug t/m 29 aug '21;70+;1301;2,61
2021-08-23;23 aug t/m 29 aug '21;Totaal;9953;3,21
2021-08-30;30 aug t/m  5 sep '21;<=24;249;8,84
2021-08-30;30 aug t/m  5 sep '21;25-39;1201;6,66
2021-08-30;30 aug t/m  5 sep '21;40-49;1580;5,06
2021-08-30;30 aug t/m  5 sep '21;50-59;2644;3,14
2021-08-30;30 aug t/m  5 sep '21;60-69;2986;3,01
2021-08-30;30 aug t/m  5 sep '21;70+;1336;2,69
2021-08-30;30 aug t/m  5 sep '21;Totaal;9996;3,91
2021-09-06; 6 sep t/m 12 sep '21;<=24;243;8,64
2021-09-06; 6 sep t/m 12 sep '21;25-39;1153;6,33
2021-09-06; 6 sep t/m 12 sep '21;40-49;1568;6,19
2021-09-06; 6 sep t/m 12 sep '21;50-59;2617;3,67
2021-09-06; 6 sep t/m 12 sep '21;60-69;2945;3,16
2021-09-06; 6 sep t/m 12 sep '21;70+;1334;1,95
2021-09-06; 6 sep t/m 12 sep '21;Totaal;9860;4,12
2021-09-13;13 sep t/m 19 sep '21;<=24;234;11,54
2021-09-13;13 sep t/m 19 sep '21;25-39;1163;8,25
2021-09-13;13 sep t/m 19 sep '21;40-49;1540;6,43
2021-09-13;13 sep t/m 19 sep '21;50-59;2614;4,28
2021-09-13;13 sep t/m 19 sep '21;60-69;2955;3,15
2021-09-13;13 sep t/m 19 sep '21;70+;1323;2,04
2021-09-13;13 sep t/m 19 sep '21;Totaal;9829;4,62
